x coord,y coord,brightness
383.76742630339027,117.65758607766597,9.702479338842975
94.21857676276146,169.22987793366477,5.646005509641873
52.469466503985075,497.36061345508807,4.477685950413223
61.925691877242315,470.8686522309428,3.9371900826446278
801.2037633515338,595.6667860236812,3.7933884297520657
783.7623696472153,43.98347015753273,3.6611570247933884
19.361161838199035,181.05797722905075,3.371900826446281
346.54441260518126,285.98938375083816,3.2892561983471076
34.03408567480424,210.18977429755873,3.2644628099173554
639.1728462377317,192.1772082878953,3.1404958677685952
28.101997146932952,123.29386590584879,2.84297520661157
