x coord,y coord,brightness
771.3816799104309,80.57287765034431,8.743801652892563
40.63768551404534,595.6914371764655,1.9197166469893745
481.96129552213387,464.64172575889165,1.5881542699724518
628.1036162105576,467.2415759834477,1.5173553719008264
765.9438575617319,351.144214056281,1.4986225895316803
789.9001492816042,587.5167316464913,1.4923258559622197
716.7398274048865,307.4228827154954,1.4710743801652892
68.64523229655957,546.1121828625946,1.43801652892562
467.98148148148147,153.9037037037037,1.3388429752066116
707.3080808080808,173.42550505050502,1.322314049586777
365.16101694915255,173.01271186440678,1.2727272727272727
